Submission file name,Submitter,Time submitted,Days since start,Public LB
submission_67.csv,huikang,2019/05/03 16:12:39,32.67545139,0.89298
submission_68.csv,huikang,2019/05/03 16:13:24,32.67597222,0.89377
submission_69.csv,huikang,2019/05/03 16:14:41,32.67686343,0.89294
submission_70.csv,huikang,2019/05/03 22:24:40,32.9337963,0.89379
submission_71.csv,huikang,2019/05/03 22:25:07,32.9341088,0.89335
sub7may_05.csv,huikang,2019/05/07 10:57:59,36.45693287,0.8926
sub7may_04.csv,huikang,2019/05/07 10:58:57,36.45760417,0.89234
sub7may_045.csv,huikang,2019/05/07 10:59:43,36.45813657,0.89328
sub7may_043.csv,huikang,2019/05/07 11:01:13,36.45917824,0.89325
sub7may_047.csv,huikang,2019/05/07 11:02:09,36.45982639,0.89485
submission_73.csv,huikang,2019/05/08 15:11:26,37.63293981,0.89441
submission896_044.csv,huikang,2019/05/08 15:33:06,37.64798611,0.89572
submission896_046.csv,huikang,2019/05/08 15:33:55,37.64855324,0.89628
submission896_0455.csv,huikang,2019/05/08 15:38:33,37.65177083,0.8967
submission896_0453.csv,huikang,2019/05/08 15:40:04,37.65282407,0.89661
submission9may_049.csv,huikang,2019/05/09 16:01:28,38.66768519,0.8916
submission9may_051.csv,huikang,2019/05/09 16:03:50,38.6693287,0.89088
submission9may_039.csv,huikang,2019/05/09 16:05:01,38.67015046,0.89191
submission9may_029.csv,huikang,2019/05/09 16:05:52,38.67074074,0.89346
submission9may_019.csv,huikang,2019/05/09 16:13:34,38.67608796,0.89397
submission9may_009.csv,huikang,2019/05/10 01:39:55,39.06938657,0.89543
submission10may_047.csv,huikang,2019/05/10 18:30:15,39.77100694,0.89003
submission10may_009.csv,huikang,2019/05/10 18:39:03,39.77711806,0.89082
submission_74.csv,huikang,2019/05/10 18:41:21,39.77871528,0.89441
submission_74.csv,huikang,2019/05/10 18:41:41,39.77894676,0.89441
